*	fun
..	activity
1.	adventure
2.	celebration
3.	comedy
4.	competition
5.	contest
6.	creativity
7.	drama
8.	entertainment
9.	epic
10.	exhibition
11.	feast
12.	game
13.	holiday
14.	magic
15.	passion
16.	play
17.	programme
18.	puzzle
19.	quiz
20.	remix
21.	spirit
22.	sport
23.	story
24.	tour
25.	toy
26.	training
::.	vacation
