*	app
..	abstract
1.	accessibility
2.	attribute
3.	class
4.	container
5.	device
6.	dimension
7.	footer
8.	function
9.	header
10.	hierarchy
11.	information
12.	instrument
13.	job
14.	meta
15.	method
16.	module
17.	namespace
18.	office
19.	operation
20.	process
21.	prototype
22.	resource
23.	syntax
24.	tool
25.	user
26.	utility
::.	vendor
