*	__: Context
..	$: Global
1.	@: Current
2.	%: Base
3.	^: Input
4.	&: Directory
5.	~: System
6.	!: Database
7.	#: Terminal
8.	=: Internet
9.	+: Push
10.	-: Stack
11.	`: Mail
12.	,: Network
13.	;: Swap
14.	@@: Backup
15.	%%: Data
16.	^^: Assembly
17.	&&: Queue
18.	~~: Pull
19.	!!: Medium
20.	##: Space
21.	==: Feature
22.	++: Value
23.	--: Feed
24.	(): Output
25.	{}: Information
26.	[]: History
::.	$$: Address
